DEPARTMENT,DISTRICT,MUNICIPALITY,MALE_POP,FEMALE_POP,AGE_0_14,AGE_65,LITERATE,RURAL,URBAN,POPULATION,P.14.YOUNGER,P.65.OLDER,P.LITERATE,P.RURAL,P.MALE
Chuquisaca,1,Sucre_city,124667,136534,79253,15649,172484,22403,238798,261201,0.303,0.0599,0.948,0.086,0.477283778
Chuquisaca,2,Sucre_city,124667,136534,79253,15649,172484,22403,238798,261201,0.303,0.0599,0.948,0.086,0.477283778
Chuquisaca,3,Sucre_rural,124667,136534,79253,15649,172484,22403,238798,261201,0.303,0.0599,0.948,0.086,0.477283778
Chuquisaca,3,Poroma,8714,8663,6838,1563,8262,17377,0,17377,0.394,0.0899,0.784,1,0.501467457
Chuquisaca,3,Presto,6305,6080,4432,865,5964,9477,2908,12385,0.358,0.0698,0.75,0.765,0.509083569
Chuquisaca,3,Tarabuco,8291,8653,1753,8778,7769,13967,2977,16944,0.103,0.5181,0.511,0.824,0.489317753
Chuquisaca,3,Yamparaez,5047,5064,3282,1150,5543,10111,0,10111,0.325,0.1137,0.812,1,0.499159331
Chuquisaca,3,Yotala,4704,4757,3003,864,5640,9461,0,9461,0.317,0.0913,0.873,1,0.497199028
Chuquisaca,3,Villa_Zudanez,5795,5567,3441,838,6874,7194,4168,11362,0.303,0.0738,0.868,0.633,0.510033445
Chuquisaca,3,Villa_Mojocaya,3985,4083,2942,660,4358,8068,0,8068,0.365,0.0818,0.85,1,0.493926624
Chuquisaca,3,Icla,3884,3890,2954,717,3644,7774,0,7774,0.38,0.0922,0.756,1,0.499614098
Chuquisaca,4,Villa_Azurduy,5414,5238,4364,913,4741,10652,0,10652,0.41,0.0857,0.754,1,0.508261359
Chuquisaca,4,Villa_Serrano,5708,5453,3647,1104,6386,7863,3298,11161,0.327,0.0989,0.85,0.705,0.511423708
Chuquisaca,4,Padilla,5254,5129,3349,960,6116,7069,3314,10383,0.323,0.0925,0.869,0.681,0.506019455
Chuquisaca,4,Tomina,4294,4200,2982,671,4610,8494,0,8494,0.351,0.079,0.836,1,0.505533318
Chuquisaca,4,El_Villar,2311,2154,1418,373,2544,4465,0,4465,0.318,0.0835,0.835,1,0.517581187
Chuquisaca,4,Tarvita,7237,7024,5795,1350,6409,14261,0,14261,0.406,0.0947,0.757,1,0.50746792
Chuquisaca,4,Sopachuy,3674,3638,2661,619,3724,5170,2142,7312,0.364,0.0847,0.801,0.707,0.502461707
Chuquisaca,4,Monteagudo,12419,11884,7961,1795,14649,12860,11443,24303,0.328,0.0739,0.896,0.529,0.511006872
Chuquisaca,4,Muyupampa,5123,4597,3285,737,5735,6505,3215,9720,0.338,0.0758,0.891,0.669,0.527057613
Chuquisaca,4,Huacareta,4400,3949,2966,674,4666,8349,0,8349,0.355,0.0807,0.867,1,0.527009223
Chuquisaca,4,Huacaya,1402,1139,946,177,1501,2541,0,2541,0.372,0.0697,0.941,1,0.551751279
Chuquisaca,4,Machareti,4041,3377,2436,509,4731,7418,0,7418,0.328,0.0686,0.95,1,0.544755999
Chuquisaca,5,Camargo,7735,7909,5373,1320,9103,10381,5263,15644,0.343,0.0844,0.886,0.664,0.494438762
Chuquisaca,5,San_Lucas,15859,16661,13145,2978,16261,32520,0,32520,0.404,0.0916,0.839,1,0.487669127
Chuquisaca,5,Incahuasi,6582,6474,5232,687,6649,13056,0,13056,0.401,0.0526,0.85,1,0.504136029
Chuquisaca,5,Villa_Charcas,7996,8154,6395,966,8337,13304,2846,16150,0.396,0.0598,0.855,0.824,0.495108359
Chuquisaca,5,Villa_Abecia,1789,1725,1092,304,2179,3514,0,3514,0.311,0.0865,0.9,1,0.509106431
Chuquisaca,5,Culpina,8631,9100,6752,1617,9244,14980,2751,17731,0.381,0.0912,0.842,0.845,0.486774576
Chuquisaca,5,Las_Carreras,2123,1965,1179,406,2599,4088,0,4088,0.288,0.0993,0.893,1,0.519324853
La_Paz,6,La_Paz,367742,398726,186246,57575,569705,7623,758845,766468,0.243,0.0751,0.982,0.01,0.479787806
La_Paz,7,La_Paz,367742,398726,186246,57575,569705,7623,758845,766468,0.243,0.0751,0.982,0.01,0.479787806
La_Paz,8,La_Paz,367742,398726,186246,57575,569705,7623,758845,766468,0.243,0.0751,0.982,0.01,0.479787806
La_Paz,9,La_Paz,367742,398726,186246,57575,569705,7623,758845,766468,0.243,0.0751,0.982,0.01,0.479787806
La_Paz,10,El_Alto,408984,439468,274700,31643,556388,1572,846880,848452,0.324,0.0373,0.97,0.002,0.482035519
La_Paz,11,El_Alto,408984,439468,274700,31643,556388,1572,846880,848452,0.324,0.0373,0.97,0.002,0.482035519
La_Paz,12,El_Alto,408984,439468,274700,31643,556388,1572,846880,848452,0.324,0.0373,0.97,0.002,0.482035519
La_Paz,13,El_Alto,408984,439468,274700,31643,556388,1572,846880,848452,0.324,0.0373,0.97,0.002,0.482035519
La_Paz,14,El_Alto,408984,439468,274700,31643,556388,1572,846880,848452,0.324,0.0373,0.97,0.002,0.482035519
La_Paz,14,Puerto_Acosta,5623,5667,2768,1915,7112,11290,0,11290,0.245,0.1696,0.835,1,0.498051373
La_Paz,14,Mocomoco,8178,7487,4263,2083,9303,15665,0,15665,0.272,0.133,0.816,1,0.522055538
La_Paz,14,Puerto_Carabuco,7579,7010,3789,1956,9341,14589,0,14589,0.26,0.1341,0.865,1,0.519500994
La_Paz,14,Humanata,2710,2632,1483,670,3141,5342,0,5342,0.278,0.1254,0.814,1,0.507300636
La_Paz,14,Escoma,3549,3637,1607,1155,4630,7186,0,7186,0.224,0.1607,0.83,1,0.493876983
La_Paz,14,Pucarani,1380,14645,8406,2719,18004,28465,0,16025,0.525,0.1697,2.363,1.776,0.086115445
La_Paz,14,Laja,12130,12401,6774,2419,16193,24531,0,24531,0.276,0.0986,0.912,1,0.494476377
La_Paz,14,Batallas,8451,8975,4812,2100,11272,15169,2257,17426,0.276,0.1205,0.894,0.87,0.484964995
La_Paz,14,Puerto_Perez,4009,4148,2072,1206,5154,8157,0,8157,0.254,0.1478,0.847,1,0.491479711
La_Paz,14,Copacabana,7269,7662,4145,1935,9560,9200,5731,14931,0.278,0.1296,0.886,0.616,0.486839462
La_Paz,14,San_Pedro_de_Tiquina,2945,3107,1368,1205,4021,6052,0,6052,0.226,0.1991,0.858,1,0.486615995
La_Paz,14,Tito_Yupanqui,3084,3177,1337,469,4374,2802,3459,6261,0.214,0.0749,0.888,0.448,0.492573071
La_Paz,15,Achacachi,22559,23499,12857,4890,29230,36756,9302,46058,0.279,0.1062,0.88,0.798,0.489795475
La_Paz,15,Ancoraimes,6452,6684,3351,1778,8240,13136,0,13136,0.255,0.1354,0.842,1,0.491169306
La_Paz,15,Chua_Cocani,2424,2479,1127,735,3414,5003,0,4903,0.23,0.1499,0.904,1.02,0.494391189
La_Paz,15,Huarina,3793,4155,1763,1385,5382,7948,0,7948,0.222,0.1743,0.87,1,0.477226975
La_Paz,15,Santiago_de_Huata,4180,4382,1925,1532,5766,8562,0,8562,0.225,0.1789,0.869,1,0.488203691
La_Paz,15,Huatajata,1921,2006,882,612,2802,3927,0,3927,0.225,0.1558,0.92,1,0.489177489
La_Paz,15,Chuma,5955,5518,3257,1305,7159,11473,0,11473,0.284,0.1137,0.871,1,0.519044714
La_Paz,15,Ayata,4384,4026,2737,792,4507,8410,0,8410,0.325,0.0942,0.794,1,0.521284185
La_Paz,15,Aucapata,2940,2555,1767,416,3161,5495,0,5495,0.322,0.0757,0.848,1,0.535031847
La_Paz,15,Apolo,10982,9326,7304,1241,12121,13932,6376,20308,0.36,0.0611,0.932,0.686,0.54077211
La_Paz,15,Pelechuco,3908,2872,2044,369,4340,6780,0,6780,0.301,0.0544,0.916,1,0.57640118
La_Paz,15,Ixiamas,5216,4146,3382,297,5801,5332,4030,9362,0.361,0.0317,0.97,0.57,0.557145909
La_Paz,15,San_Buenaventura,4620,4091,3263,403,5229,5259,3452,8711,0.375,0.0463,0.96,0.604,0.530363908
La_Paz,15,Charazani,6772,6251,4444,1032,7241,9719,3304,13023,0.341,0.0792,0.844,0.746,0.520003071
La_Paz,15,Curva,1654,1631,1109,285,1860,3285,0,3285,0.338,0.0868,0.855,1,0.503500761
La_Paz,16,Sorata,12155,11357,6755,2179,15033,20724,2788,23512,0.287,0.0927,0.897,0.881,0.516970058
La_Paz,16,Guanay,8071,6717,4583,772,9783,10623,4165,14788,0.31,0.0522,0.959,0.718,0.545780362
La_Paz,16,Tacacoma,4468,3714,2445,449,5273,8182,0,8182,0.299,0.0549,0.919,1,0.546076754
La_Paz,16,Quiabaya,1402,1282,823,235,1645,2684,0,2684,0.307,0.0876,0.884,1,0.522354694
La_Paz,16,Combaya,1931,1800,832,453,2523,3731,0,3731,0.223,0.1214,0.87,1,0.517555615
La_Paz,16,Tipuani,5336,4649,3201,401,6573,7529,2456,9985,0.321,0.0402,0.969,0.754,0.534401602
La_Paz,16,Mapiri,7530,6361,4890,509,8642,7885,6006,13891,0.352,0.0366,0.96,0.568,0.542077604
La_Paz,16,Teoponte,5152,4197,2937,413,6185,9349,0,9349,0.314,0.0442,0.965,1,0.551074981
La_Paz,16,Palos_Blancos,13450,11281,8586,979,15358,19253,5478,24731,0.347,0.0396,0.951,0.778,0.543851846
La_Paz,16,Caranavi,26515,23815,16386,2505,32427,37031,13299,50330,0.326,0.0498,0.955,0.736,0.526822968
La_Paz,16,Alto_Beni,6205,4989,3662,468,7169,11194,0,11194,0.327,0.0418,0.952,1,0.554314812
La_Paz,17,Chulumani,8962,8861,5215,1237,12027,15757,2066,17823,0.293,0.0694,0.954,0.884,0.502833417
La_Paz,17,Irupana,9330,7946,4893,1273,11592,17276,0,17276,0.283,0.0737,0.936,1,0.540055568
La_Paz,17,Yanacachi,3435,2985,1721,438,4491,6420,0,6420,0.268,0.0682,0.956,1,0.535046729
